fastspring,Feb 6,5,Brunch söndag,"Härlig söndags brunch med musik, fullbokat men trots det inte stökigt utan gick att prata . Liveband spelade helt lagom högt.  Går gärna hit igen. Stor variation på mat och dryck . Kan beställa omelett som hörs på plats eller göra egna våfflor.  ","Response from GrandHoteLund, Receptionist at Grand Hotel LundResponded 4 days ago",Responded 4 days ago,"Kära fastspring,  Stort tack för ditt omdöme och dina fina ord. Det gläder oss att du hade en sån fin upplevelse hos oss. Vi ser fram emot att få välkomna dig till Grand Hotel snart igen!  Önskar dig en underbar dag!  Med vänliga hälsningar, Katarina  ",Date of stay: February 2019,"[All, languages]",493
Pierre G,May 2017,5,Royal,"Bon accueil, upgrading sur ma demande, le lit de la chambre proposée étant trop petit. Superbe vue sur les toîts de la ville. Aménities réduites (pas de bouilloire). Beau bar traditionnel. Petit déjeuner de qualité avec un effort sur le bio remarquable. Dommage que le stand…",,,,Date of stay: March 2017,"[All, languages]",493
Ole Martin C,May 2017,1,noisy,"There was a big party in the hotell and we had no chance to sleep. When we asked the reception for help they told us they had allready tried to calm down the party, to no avail. Then we got a pair or earplugs...",,,,Date of stay: May 2017,"[All, languages]",493
B B,May 2017,1,De Lux Queen room med dubbelsäng 140 cm bred!,Trångt rum där man har svårt att gå mellan väggen och sängen. Standardmåttet för dubbelsäng är minst 140 cm. Är detta de Lux Queen ?? En fåtölj i de luxrummet och ingen pall eller stol i duschrummet. Ingen hjälp med bagaget till rummet. Kall-och varmvattenkranar separata så ny…,,,,Date of stay: May 2017,"[All, languages]",493
Trippthoughts,May 2017,5,"Family-owned Hotel with excellent service, it feels very personal and the Bar and Restaurant are BOTH second to none.","It has the personal touch in everything, one can tell that the management works when talking to the staff; happy, friendly and relaxed still ambitious.  The building itself has charm and the perfect location. All decoration has a ""homey touch"" and everything served is generous",,,,Date of stay: May 2017,"[All, languages]",493
Christian J,May 2017,1,"Ostädat och obefintlig service, kommer inte tillbaka","Mitt rum var inte städat efter tidigare gäster med smutsigt golv, halvtömd minibar med gammal kvarglömd färskost och salami. Trots att jag sa till direkt vid ankomst och senare igen bad om service bad personalen bara om ursäkt med löfte om att fixa det. Två och en halv dag…","Response from GrandHoteLund, Receptionschef at Grand Hotel LundResponded May 8, 2017","Responded May 8, 2017","Bäste Christian J,  Det var verkligen tråkigt att höra om din vistelse hos oss. Jag skulle uppskatta om du vill kontakta mig direkt på marie.winsnes@grandilund.se för att berätta mer om din upplevelse.   Med vänlig hälsning Marie Winsnes Grönlund Receptionschef",Date of stay: May 2017,"[All, languages]",493
Katarina R,Apr 2017,4,Beautiful old lunchroom and restaurant ,"It's a great spot and near the train station, so even when you haven't been to sound before it's easy to find. The entrance is pretty going first through a park, and there's a bar on the ground floor with a good selection of old Rum.   The rooms are spacious, the beds…",,,,Date of stay: September 2016,"[All, languages]",493
jro1984,Apr 2017,5,"""Grand "" says it all.",The Grand was a world class stay!!! It is right around the corner from the train station. We walked our bags from there. It was stunning. You feel like royalty as you enter to the gorgeous staircase. The hotel staff was friendly and helpful. Breakfast was delicious.,,,,Date of stay: May 2016,"[All, languages]",493
Emmie E,Apr 2017,2,Brunch,Brunchen var inte alls som förväntat med tanke på priset. Finns betydligt bättre ställen där det finns mer att välja på. Var gravid under besöket och kunde knappt äta något då 50 % var sill m.m som stått framme väldigt länge.,,,,Date of stay: May 2016,"[All, languages]",493
houdi,Apr 2017,3,'Grand' in name only,"After spending 4 nights here, I can attest that while this hotel might look like a grand hotel, it really isn't.  The devil is in the details. In most respects, it is rather ordinary.  In most grand hotels we have stayed at, the rooms were quite special with amenities. Not here.…",,,,Date of stay: April 2017,"[All, languages]",493
TestLabRabbit,Apr 2017,4,"Bra hotell, skön säng, bra frukost","Bra hotell, skön säng, bra frukost, bra service, bra städat.  Tyvärr har de ingen parkering i direkt anstlutning till hotellet utan man måste köra runt hela kvarteret till ett parkeringshus som ligger ca 100 meter bort, eller så kan man parkera någon helt annan stans om man…",,,,Date of stay: March 2017,"[All, languages]",493
Hamous14,Apr 2017,5,Brunch,Blev bjuden på en brunch med vänner och det var en trevlig brunch med mycket att välja på och mycket god service. Jag kan bara säga det med ett ord! KVALITET! Rekommenderas varmt och vi kommer att äta brunch där fler gånger.,,,,Date of stay: April 2017,"[All, languages]",493
Cfincham,Mar 2017,4,"A Grand Dame of a hotel, ","This hotel is fantastically convenient for the station, literally 5 mins walk, reception was efficient, and very friendly, my room was on the second floor, the elevators are not for the claustrophobic but they saved using the stairs, which were magnificent. The room was small…",,,,Date of stay: February 2017,"[All, languages]",493
FrkRosenknopp,Mar 2017,4,Balhelg,När hela Grand är upplåtet för bal och man har ett av de allra bästa rummen är det så nära lyxklass och fem stjärnor man kan komma.  Hela huset är då en upplevelse - särskilt promenaddansen uppför dubbeltrapporna!,,,,Date of stay: January 2017,"[All, languages]",493
Catherine S,Mar 2017,3,Traditional Hotel,"When we stayed in February, the landing on our floor was midway through re decoration. There were no skirting boards and gold tape surrounded the doors. The room was clean and comrotable, especially the beds, although the shower room was quite small. There was no tea and coffee…",,,,Date of stay: February 2017,"[All, languages]",493
Fjolleastri,Mar 2017,5,Ærverdig hotell med god service,"Rommet mitt var ganske lite, men god seng og fint bad med gode toalettartikler gir et svært godt inntrykk. Frokosten var utrolig bra, med godt utvalg. Hotellpetsonellet var også veldig trivelige og hjelpsomme. Dessuten svært praktisk beliggenhet med kort vei til togstasjonen.",,,,Date of stay: March 2017,"[All, languages]",493
Allinroc,Mar 2017,4,Nice hotell,"We have stayed at this hotel several times, since our son is studying in Lund. For us is this hotel a obvious option, since it is located centrally and the breakfast is marvellous.  What they need to improve is that every room gets a tea maker. This time the shower did not work,…",,,,Date of stay: March 2017,"[All, languages]",493
tdog17,Feb 2017,5,Best breakfast in charming hotel,"The single room is small, but it was just right (or lagom as the Swedes say) for me. The breakfast is amazing. And it's a super convenient location for catching the train or just being right in the middle of things.",,,,Date of stay: February 2017,"[All, languages]",493
AlesPopovic,Feb 2017,5,Charming and cozy,"The Grand Hotel Lund is a few minutes walk from Lund Central Train Station. Located in charming 19th-century sandstone building, the hotel is very quiet, with cosy rooms. High-speed WiFi. Rich breakfast buffet. ",,,,Date of stay: February 2017,"[All, languages]",493
Pawestin,Feb 2017,4,A classic hotel in Lund,"The Grand Hotel in Lund has been around since 1899 and it has a romantic atmosphere.   We stayed there for one night in February 2017 and we were very happy with our room in one of towers. It was clean, nice and spacious. The bed was large, soft and comfortable. The bathroom had…",,,,Date of stay: February 2017,"[All, languages]",493
Nigel C,Feb 2017,4,Old fashioned luxury,"I stayed at the Grand on a business trip. I arrived at night, in the snow and it was a wonderful sight ! The rooms are stylish and old fashioned. The hotel oozes the luxury of times gone by. My well room was spacious, nicely furnished although I couldn't work out how to turn off…",,,,Date of stay: February 2017,"[All, languages]",493
Sorfer,Feb 2017,4,Magnificent place staying and eating,"Always nice to visit daughter studying in Lund, eat amazing good food and stay in place from the last century, today better soundproofed. Perfect located and walking distance from trainstation.  HUGE WARNING for the poor and very unfriendly parking guards around the hotel, they…",,,,Date of stay: February 2017,"[All, languages]",493
d_kester,Feb 2017,5,"Good location, classic old world hotel","This hotel has an excellent location, being just across from the train station and near the center of town. It is an old-style classic European hotel, meaning elegant, but with small rooms and bathrooms. If you expect large rooms and bathrooms you can walk around in, this isn't…",,,,Date of stay: February 2017,"[All, languages]",493
Mia L,Feb 2017,3,Snålt med te på afternoon Tea,"Vi bokade bord till Afternoon Tea. Scones, smörgåsar och kakor var väldigt goda. Tyvärr berättade ingen vad det var vi åt, vi fick inte påfyllning av teet förrän vi hade jagat servitören en lång stund och bubblet vi hade tänkt beställa innan vi började fick vi inte tillfälle att…",,,,Date of stay: February 2017,"[All, languages]",493
Kinalina,Feb 2017,5,Sov som en prinsessa,"I två nätter sov & mådde jag som en prinsessa på Grand. Fräscht rum, underbar säng, tyst och lugnt och en underbar frukost. Inte vräkig och slafsig utan med väl utvalda pålägg, gott surdegsbröd, färskpressade juicer, te, kaffe och allt därtill. Allt var närodlat och det mesta…",,,,Date of stay: February 2017,"[All, languages]",493
516carrot123,Jan 2017,5,Such a wonderful stay,"Our room was beautiful and spacious. The overall experience was so relaxing and pleasant. The hotel is located nearby the trainstation and near the 'center' of Lund which was great for getting around. The breakfast buffet was also absolutely lovely. All around, great!",,,,Date of stay: August 2016,"[All, languages]",493
A75Milano,Jan 2017,5,Nel cuore antico della Svezia,"Lund è una piccola e antica città svedese che si onora di ospitare la più antica Università del Paese. Il Grand Hotel Lund rappresenta il migliore dei soggiorni possibili, nel cuore storico della città, a due passi dalla stazione ferroviaria, in autentico stile antico e…",,,,Date of stay: January 2017,"[All, languages]",493
556johanna,Jan 2017,3,Medelbra,"Det finns ljuspunkter. Nära stationen, vissa i personalen är trevliga, frukosten var fräsch och allamänna ytorna var välstädade.  Däremot var vår toalett inte välstädad och fönstret smutsigt och vissa i personalen uppträdde rent otrevligt och hälsade inte ens.",,,,Date of stay: November 2016,"[All, languages]",493
marianne_martensson,Jan 2017,4,Frukostbesök,"Mycket mat, välfyllt och såg trevligt ut. Lugn och fin miljö. Jag hade önskat lite mer uppmärksamhet från personal. Var lite besvärligt när det skulle faktureras...Ge de anställda en kort introduktion i hur möta kunder så blir det riktigt bra! Då skulle jag utan tvekan sätta fem…",,,,Date of stay: January 2017,"[All, languages]",493
Snitssnits,Jan 2017,5,Den nya mötesformen - frukostmöte,Grand serverar den bästa av hotellfrukostar och när det är svårt att hitta mötestiderna över lunchen så är frukostmöte att rekommendera. De flesta har lättare att komma ifrån på morgonen och mötet kan bli aningen längre än ett vanligt lunchmöte.,,,,Date of stay: January 2017,"[All, languages]",493
Bjørn S,Jan 2017,4,Gammelt og ærverdig hotell,"Grand Hotel er et stilig, gammelt og tradisjonelt hotell, beliggende midt i sentrum av Lund. Fine rom, om enn litt små, med veldig gode senger. Det er skinnende rent og de små detaljene er på plass. Litt støy fra gaten, men det er vanskelig å unngå når en bor midt i sentrum av…",,,,Date of stay: January 2017,"[All, languages]",493
guest629,Jan 2017,5,En härlig nyårsafton.,"Vi spenderade nyårsafton på Grand Hotel. Personalen gav ett mycket trevligt bemötande och maten var god. Städningen kunde varit bättre på sina ställen, spindelväven i badrummets tak kändes lite felplacerad men i övrigt är vi mycket nöjda och kommer gärna tillbaka.",,,,Date of stay: December 2016,"[All, languages]",493
Johan M,Jan 2017,4,"Classy hotel, excellent breakfast","Undoubtdely the best hotel in Lund. Centrally located, good staff and an excellent breakfast buffet. I recommend the waffles, freshly baken by yourself with berries, chantilly, honey, sirup.... Delicious!",,,,Date of stay: January 2017,"[All, languages]",493
Lars M,Jan 2017,2,Oväsen utan information.,4 stjärnigt hotell mycket tveksamt. 2 nätter för 3 770 SEK. Sådant oväsen ovanför vårt rum att man inte kan sova. Det liknar mer diskotek. Om man inte får rätt information om det rum man skall bo i skall man definitivt inte välja Grand hotell i Lund.,"Response from GrandHoteLund, Receptionschef at Grand Hotel LundResponded Jan 24, 2017","Responded Jan 24, 2017","Hej Lars M, Tack för ditt omdöme. Jag skulle uppskatta om du vill kontakta mig direkt för att berätta mer om din vistelse hos oss.   marie.winsnes@grandilund.se  Marie Winsnes Grönlund Receptionschef",Date of stay: January 2017,"[All, languages]",493
Piewah,Jan 2017,4,Brunch ,"Trevligt mottagande. En fräsch frukost, dock inget ""över sig"" det mesta traditionella finns. Säkert ett par snäpp vassare på helgen, vi avser prova det också vid ngt tillfälle.  I övrigt är ju miljön i matsalen skön och känns lyxig. Så vi kan varmt rekommendera detta även om man…",,,,Date of stay: January 2017,"[All, languages]",493
ake2017,Jan 2017,5,"Elegans, klassisk stil,","Vi har firat många nyår på många olika hotell men aldrig haft det bättre.Jag och min fru älskar att dansa och kunde dansgolvet bli större så är allt perfekt. Rummet var snyggt och badrummet helkaklat, utmärkt Gångavstånd från Centralstationen",,,,Date of stay: January 2017,"[All, languages]",493
bo f,Jan 2017,2,Bo Fredrikson,"Vi var på nyårs middag mm hos er. Vi betalade 2800,- kommer inte att göra om det.  Maten var övergjord. Märkliga kompositioner.  Fick ett glas Sancerre som såg ut som jäst weissbier. Servitrisen hade ingen aning om vad Ett Sancerrevin är. Hon hällde upp denna sörja till fler av…",,,,Date of stay: December 2016,"[All, languages]",493
Ka_Mi_Sa_Bo,Jan 2017,2,Dålig service och höga priser - dålig kombination,Var på besök i mellandagarna. Servicen var under all kritik och kvaliteten på mat och dryck reflekterades ej i priser. Bistron saknar mysighetskänsla och hade behövt ett lyft. Ljussättningen dålig. Efter att ha väntat en timme efter huvudrätt frågade personal om vi ville…,,,,Date of stay: December 2016,"[All, languages]",493
LHN320,Dec 2016,5,Stämningsfullt julbord,"Vi åt julbord på julafton, något som nästan blivit en tradition.  Servicen var mycket bra. Atmosfären är stämningsfull och maten mycket god. Det är väldigt trevligt med alla ratter som har lokal anknytning. ",,,,Date of stay: December 2016,"[All, languages]",493
