,a,b,c,d,e,f,cite
1344,2011,169,"Street vending and the use of urban public space in Kumasi, Ghana","BE Solomon-Ayeh, RS King, I Decardi-Nelson - 2011 - ir.knust.edu.gh","… 1.1 Theoretical Background There is significant literature on urban public space of cities to
examine to know how these can be better designed to enhance urban vitality. Brown (2006)
explores the concept of urban public space and its importance to the poor … 
",  Cited by 17 Related articles All 2 versions  View as HTML ,17
2382,2015,281,[BOOK][B] Sustainability policy: hastening the transition to a cleaner economy,"S Cohen, W Eimicke, A Miller - 2015 - Wiley Online Library","… rules that govern commerce and citizens' behavior. Adopting sustainability practices
is central to urban vitality and to making cities desirable places both for businesses
and residents. Cities are turning to sustainable solutions … 
",  Cited by 17 Related articles All 3 versions  ,17
2271,2015,283,"Paths to mixed-use development: A case study of Southern Changping in Beijing, China","H Kong, DZ Sui, X Tong, X Wang - Cities, 2015 - Elsevier","… other well-intended urban policies and planning initiatives, functional zoning created many of
its own problems as it was repeated mechanically in these cities, such as congestion, pollution,
urban sprawl, workplace-residence separation and the loss of urban vitality (Grant, 2002 … 
",  Cited by 17 Related articles All 2 versions  ,17
2495,2015,282,"[BOOK][B] Afterlives of Modernism: Liberalism, Transnationalism, and Political Critique",JC Rowe - 2015 - books.google.com,"Page 1. º - * - -- i. AFTERLIVES OF MO DE RN SM Liberculism, Tronsnationalism,
and Political Critique -- | º a T *…* T ºl º º ºn TL HºHºº a JOHN CARLOS ROWE Page
2. afterlives of modernism Page 3. re-mapping the transnational … 
",  Cited by 17 Related articles All 2 versions  Library Search ,17
2164,2014,238,Knowledge sharing and development of creative fashion designers' careers: the role of intermediary organisations,"DG Tremblay, A Yagoubi - International Journal of Knowledge-Based …, 2014 - r-libre.teluq.ca","… urban diversity, which in turn influenced creativity. Jacobs maintains that diversity and
exchanges of ideas play an important role in the creation of a powerful and dynamic
urban vitality. The presence of different ethnic and economic … 
",  Cited by 16 Related articles All 11 versions  View as HTML ,16
391,2000,57,[PDF][PDF] Power and towns in late Roman Britain and early Anglo-Saxon England,"ST Loseby - Memorias de la Real Academia de Buenas Letras de …, 2000 - raco.cat","… Whether these soils represent some sort of cultivation or simply the remains of collapsed buildings
within which the usual array of wasteground flora were beginning to grow, they cannot be
described as an index of conventional urban vitality.33 The universality of all these … 
",  Cited by 16 Related articles All 10 versions  View as HTML ,16
1965,2013,276,[BOOK][B] Designing the city: A guide for advocates and public officials,AF Bacow - 2013 - books.google.com,"Page 1. (478, A.Ş. Page 2. Page 3. .ABOUTISLAND PRESS . Island Press is the only
nonprofit organization in the United States whose principal purpose is the publication
of books on environmental issues and natural resource management … 
",  Cited by 16 Related articles  ,16
1045,2008,87,"[BOOK][B] Literature & Place, 1800-2000","P Brown, M Irwin - 2008 - books.google.com","Page 1. Page 2. Page 3. LITERATURE ft PLACE 1800-2000 This On© Page 4. Page 5.
LITERATURE Et PLACE 1800-2000 Peter Brown Michael Irwin (eds) PETER LANG Oxford •
Bern ■ Berlin * Bruxelles ■ Frankfurt am Main • New York ■ Wien Page 6 … 
",  Cited by 16 Related articles All 4 versions  ,16
390,2000,57,[PDF][PDF] America's Berlin 1945-2000: Between myths and visions,"A Daum - Berlin: The New Capital in the East. A Transatlantic …, 2000 - webdoc.sub.gwdg.de","… Americans also came back to a place, however, that before the Nazis came to power had
represented—more than any other in Germany—urban vitality, ethnic diversity and cultural
innovation in high and popular culture, in addition to outstanding academic achievements … 
",  Cited by 16 Related articles All 3 versions  View as HTML ,16
2022,2014,238,Walking as a planned activity: Elevated pedestrian network and urban design regulation in Hong Kong,"Z Tan, C QL Xue - Journal of Urban Design, 2014 - Taylor & Francis","Skip to Main Content … 
",  Cited by 16 Related articles All 10 versions  ,16
827,2007,146,[BOOK][B] Urban design reader,"S Tiesdell, M Carmona - 2007 - books.google.com","Page 1. 4 v' l 1?'? BARON'ﬁEDé E ' A m""? i Page 2. it!' 7 f _ “in, i _j. - i ? QM”; - .
qmmsmicmmou ' 8F ' V .'_ ____~ -' —' vh_ _ Page 3. Urban Design Reader Page
4. Urban Design Reader Edited by Matthew Carmona and Steve … 
",  Cited by 16 Related articles All 2 versions  ,16
2474,2015,283,[BOOK][B] The Politics of Parametricism: Digital Technologies in Architecture,"M Poole, M Shvartzberg - 2015 - books.google.com","Page 1. * | | - * U|T. | | || HE | \ ''' CS 5:- £ | { IF- #): * 55: £ - I | - | al "" º: == *: E|-|-- SS- 's - £
SSS.SS) *ś S. SS SS #DIGITAL ''' #TECHNOLOGIES' N. A ED || MANUELY SHVAR ZB
BLO OWSB URY Page 2. The Politics of Parametricism Page 3 … 
",  Cited by 16 Related articles All 2 versions  Library Search ,16
2186,2014,238,"[BOOK][B] Neighbourhood Change in Halifax Regional Municipality, 1970 to 2010: Applying the"" Three Cities"" Model","V Prouse, JL Grant, M Radice, H Ramos, P Shakotko… - 2014 - neighbourhoodchange.ca","… resources to address decline. NIP neighbourhoods subsequently experienced varying
degrees of gentrification. Bunting and Millward (1999) noted renewed urban vitality
in Halifax by the late 1970s. Ley (1986) distinguished Halifax … 
",  Cited by 16 Related articles All 4 versions  View as HTML ,16
2142,2014,238,"Post‐Katrina Population Loss and Uneven Recovery in New Orleans, 2000–2010","F Wang, Q Tang, L Wang - Geographical Review, 2014 - Wiley Online Library","Skip to Main Content … 
",  Cited by 15 Related articles All 5 versions  ,15
2259,2015,283,"Urban design, public space and the dynamics of creative milieux: a photographic approach to Bairro Alto (Lisbon), Gràcia (Barcelona) and Vila Madalena (São Paulo)","P Costa, R Lopes - Journal of Urban Design, 2015 - Taylor & Francis",,  Cited by 15 Related articles All 9 versions  ,15
436,2001,48,Ottawa's Byward Market: A festive bone of contention?,"JE Tunbridge - Canadian Geographer/Le Géographe canadien, 2001 - Wiley Online Library","… 1996). The con- cept apparently remains marginal to Canadian urban vitality; however
our present discussion questions whether Canadian markets other than festival mar-
ketplaces may in fact be evolving in that direction. The … 
",  Cited by 15 Related articles All 3 versions Web of Science: 5  ,15
962,2007,146,[BOOK][B] The folly of preaching: Models and methods,MP Knowles - 2007 - books.google.com,"Page 1. Models and Methods MICHAEL P. KNOWLES, editor DAVID A. BUTTRICK
CHARLES G. ADAMS ANTHONY CAMPOLO THOMAS G.LONG EDWINAHUNTER
MARTIN E. MARTY JOHNR.W. STOTT STEPHANC FARRIS JOHNN … 
",  Cited by 15 Related articles  ,15
3537,2018,361,[BOOK][B] Drift: Illicit mobility and uncertain knowledge,J Ferrell - 2018 - books.google.com,"Page 1. Drift Ferrell-Drift.indd i Ferrell-Drift.indd i 31/01/18 4:38 PM 31/01/18 4:38
PM Page 2. Ferrell-Drift.indd ii (e) 31/01/18 4:38 PM Page 3. Drift Illicit Mobility and
Uncertain Knowledge Jeff Ferrell UNIVERSITY OF CALIFORNIA … 
",  Cited by 15 Related articles All 5 versions  ,15
810,2006,96,[BOOK][B] Greater New Jersey: Living in the shadow of gotham,DE Gale - 2006 - books.google.com,"Page 1. GrBátēr NEWJErsby Living in the Shadow of Gotham Dennis E. Gale Page
2. Page 3. Page 4. iving within the influence of One of the largest and most important
Cities in the WOrld, how does New Jersey define itself … 
",  Cited by 15 Related articles All 4 versions  ,15
2480,2015,282,"[BOOK][B] Gentrification in neighbourhood development: case studies from New York City, Berlin and Vienna",Y Franz - 2015 - books.google.com,"Page 1. Yvonne Franz Gentrification in Neighbourhood Development Vienna
University Press Page 2. V&R Academic Page 3. Page 4. Yvonne Franz Gentrification
in Neighbourhood Development Case Studies from New York … 
",  Cited by 15 Related articles All 2 versions  Library Search ,15
1693,2012,234,[BOOK][B] Building with Water: Concepts Typology Design,Z Ryan - 2012 - books.google.com,"Page 1. E m x :1: >: c m m m , CONCEPTS 'I | DESIGN K' 4/ It!' 7 ,'~ . 1"" Page 2. Building
with Water Page 3. Dedicated to Brenda, Max and Amy Ryan Page 4. ConCepts |
typology | Design Zoë Ryan Birkhäuser Basel Page 5. Graphic … 
",  Cited by 15 Related articles  ,15
1631,2012,240,Office building conversion and sustainable adaptation: a comparative study,"HT Remøy, SJ Wilkinson - Property Management, 2012 - emeraldinsight.com",,  Cited by 15 Related articles All 8 versions  ,15
1928,2013,279,[BOOK][B] Revitalizing American Cities,"SM Wachter, KA Zeuli - 2013 - books.google.com","… It is people who envision and implement change. Thus, the route to urban vitality
lies in adopting policies that help people to thrive and to innovate; in other words,
the route to revitalization lies in promoting human capital. While … 
",  Cited by 15 Related articles All 3 versions  ,15
446,2002,55,[BOOK][B] Cities in Full. Recognizing and Realizing the Great Potential of Urban America,S Belmont - 2002 - trid.trb.org,"… out. This book praises the potential of America's cities and offers a thoughtful
blueprint for renewal. The first chapter of the book revisits Jane Jacob's much
acclaimed, but much ignored, prescription for urban vitality. Chapter … 
",  Cited by 15 Related articles  Cached ,15
1553,2012,239,Build it and they will come”? A critical examination of utopian planning practices and their socio-spatial impacts in Malaysia's “intelligent city,"D Brooker - Asian Geographer, 2012 - Taylor & Francis","… Unlike Florida's (2002) bustling “creative cities” characterized by diversity and urban vitality
Cyberjaya was conceived as an almost anti-urban “edge city” (Garreau 1991) for the “information
age” where flows of bits – ie people, goods – can be literally substituted by electronic … 
",  Cited by 15 Related articles  ,15
556,2003,73,[BOOK][B] Cultures and settlements,"M Miles, N Kirkham - 2003 - books.google.com","… In addition, the public realm is imagined in terms of economic regeneration, positing an urban
vitality that is based on lively public commerce, visible in the streets. The vision is laudable but
fragile. The sheer scale of contemporary economic units threatens to pull it apart … 
",  Cited by 15 Related articles  ,15
1081,2009,120,"Winter wonderlands: Public outdoor ice rinks, entrepreneurial display and festive socialities in UK cities","D Bell - Leisure Studies, 2009 - Taylor & Francis","… Nash notes at the outset the 'decreased numbers of participants in public life' as a result of wintry
weather, so we can understand ice rinks as an attempt to produce what Montgomery (1995) names
urban vitality in periods doubly depopu- lated by inclement weather and the … 
",  Cited by 14 Related articles All 4 versions  ,14
3193,2017,367,"[BOOK][B] Transforming townscapes: from burh to borough: the archaeology of Wallingford, AD 800-1400",N Christie - 2017 - content.taylorfrancis.com,"Page 1. Page 2. TRANSFORMING TOWNSCAPES From burh to borough: the
archaeology of Wallingford, AD 800–1400 by Neil Christie and Oliver Creighton with
Matt Edgeworth and Helena Hamerow with contributions by Marion … 
",  Cited by 14 Related articles All 4 versions  Library Search ,14
3219,2018,367,Urban form breeds neighborhood vibrancy: A case study using a GPS-based activity survey in suburban Beijing,"J Wu, N Ta, Y Song, J Lin, Y Chai - Cities, 2018 - Elsevier","… These factors lose efficacy when gated neighborhoods are selected and surrounding facilities
are distributed far away. Our study argues that urban planners, using their professional
judgment, can contribute to urban vitality at the neighborhood scale … 
",  Cited by 14 Related articles  ,14
1728,2012,234,[BOOK][B] Our better nature: environment and the making of San Francisco,PJ Dreyfus - 2012 - books.google.com,"… 97 100 106 107 121 138 141 147 153 165 180 Page 12. Page 13. PREFACE This
book is inspired by love of urban vitality and by awe at the beauty of nature. It emerged
as a product of my teaching environmental history at San … 
",  Cited by 14 Related articles All 2 versions  ,14
1103,2009,121,Saving the City in China Mieville's Bas-lag novels,"C Palmer - Extrapolation, 2009 - online.liverpooluniversitypress.co.uk","… Bas-lag novels ChriStophEr palMEr Abstract China Miéville's Bas-Lag novels combine enthusiasm
for progressive, collective politics with a fascination for charismatic, prickly loners, and combine
evocations of urban vitality with imaginations of oppression and exploitation … 
",  Cited by 14 Related articles All 6 versions  ,14
