,a,b,c,d,e,f,cite
1000,2008,89,Inherited cities,"H Kennedy - The City in the Islamic World (2 vols.), 2008 - brill.com","… constructed in the lower town. All this gives an impression of urban vitality which 8
Maurice Sartre, Bostra: des origins à l'Islam (Paris, 1985). 9 Zbigniew Fiema, et al.,
The Petra Church (Amman, 2001). 10 For a preliminary report … 
",  Cited by 11 Related articles All 6 versions  ,11
1754,2013,282,Polycentrism as a multi-scalar relationship between urban and rural areas: The case of Portugal,"RM Carmo - European Planning Studies, 2013 - Taylor & Francis","Page 1. Polycentrism as a Multi-Scalar Relationship Between Urban and Rural Areas:
The Case of Portugal RENATO MIGUEL CARMO Instituto Universitário de Lisboa,
CIES-IUL, Lisbon, Portugal (Received July 2010; accepted July 2011) … 
",  Cited by 11 Related articles All 7 versions  ,11
2525,2016,330,A set of tools for making urban transport more sustainable,"J Malasek - Transportation Research Procedia, 2016 - Elsevier","… Transport Miejski i Regionalny, No. 1/2012. MIEN, 2014. Networking for Urban Vitality,
Ministry of the Infrastructure and the Environment of the Netherlands, Rijkswaterstaat.
MyWay, 2015. Multi-modal journey planning made … 
",  Cited by 11 Related articles All 5 versions  ,11
1760,2013,282,Urban form and locality,"H Barton - Sustainable Communities, 2013 - taylorfrancis.com","… The difficulty of transferring densities typical of Italian and Dutch cities, with their
high proportion of flat living and low open space standards, to UK situations in order
to achieve the desired urban vitality, are often underplayed … 
",  Cited by 11 Related articles  View as HTML ,11
2264,2015,283,The promotion of creative industries as a tool for urban planning: the case of the Territoire de la culture et de la création in Paris Region,"A Aubry, A Blein, E Vivant - International journal of cultural policy, 2015 - Taylor & Francis",,  Cited by 11 Related articles All 17 versions  ,11
1611,2012,239,15 The importance of gatekeeping processes and reputation building in the sustainability of creative milieus,"P Costa - Creative Industries and Innovation in Europe: Concepts …, 2012 - books.google.com","… A Governance Culture for the Creative City: Urban vitality and International Networks'), funded
by the Portuguese Science and Technology Foundation (FCT/MCTES), was to discuss territorially
based creative dynamics and their governance mechanisms in diverse urban … 
",  Cited by 10 Related articles All 3 versions  ,10
2173,2014,238,Measuring the changes in aggregate cycling patterns between 2003 and 2012 from a space syntax perspective,"S Law, F Sakr, M Martinez - Behavioral Sciences, 2014 - mdpi.com","There has been a world-wide surge of interest in cycling over the last 10 years of which London
has seen a continuous growth in cyclists and investment in infrastructure that has resulted in
the introduction of the Barclays Cycle Superhighway and Barclays Cycling Hiring Scheme … 
",  Cited by 10 Related articles All 15 versions  Cached ,10
1743,2013,282,Nothing gained by only counting dwellings per hectare: A hundred years of confusing urban densities,E Pafka - 2013 - minerva-access.unimelb.edu.au,"… Density and intensity The measure of dwelling density was also used by Jane Jacobs, who saw
the concentration of people as one of four preconditions of urban vitality, and used the
hybrid-measure of dwellings per hectare to link measured density to streetlife intensity (Jacobs … 
",  Cited by 10 Related articles All 5 versions  View as HTML ,10
569,2004,78,Urban consolidation and transport,CJB Hodgetts - 2004 - minerva-access.unimelb.edu.au,"… its benefits as, “less car dependency, low emissions, reduced energy consumption, better public
transport services, increased overall accessibility, the re-use of infrastructure and previously
developed land, the rejuvenation of existing urban areas and urban vitality, high quality … 
",  Cited by 10 Related articles  View as HTML ,10
3052,2017,369,Is it sound policy or fast policy? Practitioners' perspectives on the role of place branding in local economic development,"E Cleave, G Arku, R Sadler, J Gilliland - Urban Geography, 2017 - Taylor & Francis","Page 1. Is it sound policy or fast policy? Practitioners' perspectives on the role of
place branding in local economic development Evan Cleavea, Godwin Arkua, Richard
Sadlerb and Jason Gillilanda aDepartment of Geography … 
",  Cited by 10 Related articles All 2 versions  ,10
2130,2014,239,[PDF][PDF] Festivalization as a creative city strategy,"N Zherdev - IN3 Working Paper Series, 2014 - cercles.diba.cat","… On the other hand, we can regard local artists not only as an object of creative talent attraction
policies, but also as producers of festivals, urban vitality and ”creative atmosphere”: we cannot
imagine any art festival without artistic content and in certain types of festivals (eg music … 
",  Cited by 10 Related articles All 2 versions  View as HTML ,10
2773,2016,329,"Public space: Property, lines, interruptions","A Layard - JL Prop. & Soc'y, 2016 - HeinOnline","Page 1. Volume 2 Article 1 August 2016 Public Space: Property, Lines, Interruptions
Antonia Layard Recommended citation: Antonia Layard, Public Space: Property,
Lines, Interruptions, 2 JL PROP. & Soc'Y 1 (2016), http://www … 
",  Cited by 10 Related articles  ,10
2686,2016,330,Clumsy City by Design—A Theory for Jane Jacobs' Imperfect Cities?,"SM Schmitt, T Hartmann - Urban Planning, 2016 - cogitatiopress.com","… This gets underlined by Moroni as well, who argues for diver- sity, to let “economic urban vitality”
emerge (2016, p. 4). In a next step Jacobs states that her physical design prin- ciples combined
with her recommended economic con- dition unleash commercial diversity … 
",  Cited by 10 Related articles All 10 versions  View as HTML ,10
2659,2016,330,Pedestrian route choice by elementary school students: The role of street network configuration and pedestrian quality attributes in walking to school,"A Ozbil, G Argin, D Yesiltepe - International Journal of Design …, 2016 - Taylor & Francis","… of street-front non-residential uses as compared to residential uses since increased numbers
of destinations would allow them to link their trips along their routes to/from school as well as
provide environments with relatively higher degree of urban vitality and surveillance safe … 
",  Cited by 10 Related articles All 11 versions  ,10
1356,2011,169,"» Measuring spatial visibility, adjacency, permeability and degrees of street life in Pompeii «","A van Nes - Rome, Ostia and Pompeii: Movement and Space …, 2011 - books.google.com","… 21 As Jane Jacobs and Jan Gehl argue, many entrances and windows facing a street is one
formula to ensure urban vitality. 22 The challenge is to quantify these spatial relationships …
describing an area's character—its urban vitality and the propensity for social interaction … 
",  Cited by 10 Related articles  ,10
408,2001,47,"[PDF][PDF] Cities, automobiles, and sustainability","C Balsas - Urban Affairs Review, 2001 - journals.sagepub.com","… transporta- tion, time; land and housing waste), environmental responsibility (oil vulnerability,
greenhouse gases, smog, sprawl and traffic impacts), social equity (inequities in being carless
and in location), and human livability (loss of community, urban vitality, and public safety … 
",  Cited by 10 Related articles All 2 versions Web of Science: 1  ,10
3066,2017,369,Sense of safety in public spaces: university student safety experiences in an Australian regional city,"R Ratnayake - Rural Society, 2017 - Taylor & Francis","… Urban vitality and specific design features, such as prospect and refuge, are pivotal for making
safer spaces for diverse social groups. This study builds on past research that has attempted
to identify the relation- ship between fear and physical features … 
",  Cited by 10 Related articles All 4 versions  ,10
1431,2011,191,"Foundational history: An integrated approach to basic design, history, and theory","R Teal - Journal of Architectural Education, 2011 - Taylor & Francis","… with history; that is, viewing architecture and urbanism as being more affected by the congestion
of programmatic possibilities and the resulting interplay of activity than by formal innovation (Figure
3).43 In Melun Senart, the prospect of future urban vitality centers on a method of … 
",  Cited by 10 Related articles All 3 versions  ,10
2682,2016,330,Morpho: Combining morphological measures,"V Oliveira, V Medeiros - Environment and Planning B …, 2016 - journals.sagepub.com","The physical form of cities has an influence on the main social, economic and environmental
aspects of our lives. The understanding of this influence depends on...
",  Cited by 10 Related articles All 6 versions  ,10
627,2004,77,[PDF][PDF] The connection between land use and transportation in land use plans,"DA Rodríguez, DR Godschalk, RK Norton, S Aytur - 2004 - wisconsindot.gov","… based mobility. The policy agendas that have motivated this focus have included
mitigation of air pollution and automotive congestion, promotion of urban vitality and
improved economic integration of low-income people. Among … 
",  Cited by 10 Related articles All 4 versions  View as HTML ,10
382,2000,57,The contemporary city in four movements,"M Schwarzer - Journal of Urban Design, 2000 - Taylor & Francis","… The coincidence of New York City's rigid grid and its outrageous skyscraper verticality is celebrated
as an example of urban vitality born out of limits: ªThrough fantastic technology it will be possible
to reproduce all situa- tions'Ðfrom the most natural to the most arti … 
",  Cited by 10 Related articles All 4 versions  ,10
